id	filename	md5	size	state
001ae925-102c-4818-8eb0-c8d2e5726e7c	001ae925-102c-4818-8eb0-c8d2e5726e7c/d3f73c0f-d518-4e91-b038-a4360495ee27.htseq.counts.gz	a20fd7085b4d1b35e228d65ae2cee800	255968	validated
0085c623-bcdd-4b71-960c-a42acd0e53e4	0085c623-bcdd-4b71-960c-a42acd0e53e4/801c2c60-5dc2-43f7-949f-18b5a35a4ca3.htseq.counts.gz	4bfe0e3c85512a673c822fa01763cb21	255034	validated
00f072a6-6db0-4dcd-b819-e664f7e827df	00f072a6-6db0-4dcd-b819-e664f7e827df/9fa215ae-e9ce-4f87-9c8e-b3d9574925c8.htseq.counts.gz	ec2d4e7a4d744f6698708daa4366c0a0	250343	validated
02b2aa68-61fe-45af-8c2b-0e767df36cda	02b2aa68-61fe-45af-8c2b-0e767df36cda/2fcd467f-4ea2-4712-ad16-217e05b135b1.htseq.counts.gz	959def0ef3c637316b50cb7928226bd0	251930	validated
03d18e3c-0a38-482a-8ae0-5fa6906cb6f5	03d18e3c-0a38-482a-8ae0-5fa6906cb6f5/0048d446-301b-4d04-97d2-1348b6889692.htseq.counts.gz	158bbac7dc2235e4b0e784c72c5e8b27	258646	validated
03fa41cb-b8b9-47ab-88d6-25852567da7b	03fa41cb-b8b9-47ab-88d6-25852567da7b/476de4e4-7dfd-41a8-a3c5-3ae05987093e.htseq.counts.gz	4ee85f358d8f53b40e3cb48d922e9a99	249920	validated
040b0c23-c706-41f1-8fa8-195509486588	040b0c23-c706-41f1-8fa8-195509486588/2e5095b6-5f89-4b79-abfa-0afe326801ef.htseq.counts.gz	631d3adacc2d9fdc8f54f6baf9237d32	250936	validated
051d3b55-a9f1-4f26-bcff-0dd28044d282	051d3b55-a9f1-4f26-bcff-0dd28044d282/a85824a2-de8d-4c52-942f-d8af5fe92ea9.htseq.counts.gz	0bd28c24a7323c73a8433291b97cf712	249147	validated
05360eb2-3e42-49a8-80cc-312b84e6dae5	05360eb2-3e42-49a8-80cc-312b84e6dae5/a6d0f911-5137-4a56-a772-51da9d23f253.htseq.counts.gz	f583d1f4a382afb61a740992d0fa9c03	260038	validated
063230bc-0d50-41c1-ae7b-649acdada086	063230bc-0d50-41c1-ae7b-649acdada086/c5c166cc-9a61-4340-901b-d198cb522289.htseq.counts.gz	bf6c828551df4a070ed85cd1e164c6f6	257009	validated
0650d0c1-0580-45db-9793-0080df1e44d8	0650d0c1-0580-45db-9793-0080df1e44d8/135ce95c-79ae-43d0-83d9-a435c2974267.htseq.counts.gz	59fb23f0048a4ced3944241c5895fef8	248341	validated
06645f1d-a5e7-4d15-9dbb-e44db1d58f3c	06645f1d-a5e7-4d15-9dbb-e44db1d58f3c/e26db93d-c41d-4048-9cab-196ec70c5676.htseq.counts.gz	cff3413bad471f2ce7356c4f5e137dca	250006	validated
06b98f02-9853-4c2f-87fa-1e0a454ef4bc	06b98f02-9853-4c2f-87fa-1e0a454ef4bc/b42d8f67-8e05-4302-ae87-783dfb38a58a.htseq.counts.gz	c1db9547274a79d545d4db7e25bde969	255323	validated
06be8fbd-a447-49fc-b2a4-148a8ccd4438	06be8fbd-a447-49fc-b2a4-148a8ccd4438/345d3200-a399-4eca-b48f-2beeb1689a8a.htseq.counts.gz	cd05710fbe700bdffae57f3d4aa3dcd0	259311	validated
06c39d53-76c5-4264-b227-52204d903d72	06c39d53-76c5-4264-b227-52204d903d72/8accded2-8915-4eda-9ee4-c6730c2474de.htseq.counts.gz	3594a36c038f420b219ee1eb3eb2daec	261599	validated
07298ec2-13ba-46de-9972-b9f420a31eea	07298ec2-13ba-46de-9972-b9f420a31eea/62be7dc8-d879-4626-8168-25ccccf341f5.htseq.counts.gz	659740305cfce0abf1aaa6aba7730b43	253536	validated
0800fbe8-bc48-4b61-bb23-f67aad42851c	0800fbe8-bc48-4b61-bb23-f67aad42851c/9cb91836-3ed3-47e9-8f86-eb15937fd537.htseq.counts.gz	0301bbdcc00f80ae356c7e23122d593c	243978	validated
091a36c4-00bd-48ac-a964-d26c1cb22dbd	091a36c4-00bd-48ac-a964-d26c1cb22dbd/6f899334-8741-4d1d-a8e2-3bf17a25c968.htseq.counts.gz	7d2e6b1a1504adddde8bd77487f1dc1f	253172	validated
0acaea3b-3157-4e69-ae01-7d7c59047128	0acaea3b-3157-4e69-ae01-7d7c59047128/5aebac9e-80ba-48bb-aedf-752196a1861a.htseq.counts.gz	6c691ef4f5490e72d2fe50d8a562a49e	256422	validated
0af2d5f2-00c8-4ee2-8a79-790ddd1272f1	0af2d5f2-00c8-4ee2-8a79-790ddd1272f1/7a790ece-2c1a-4895-a475-9fabbc0622a3.htseq.counts.gz	bda8e8e0bbd3b2442bb1f1d7cb47a8c6	259519	validated
0b358532-e510-49b7-a61b-f0b699e7f05e	0b358532-e510-49b7-a61b-f0b699e7f05e/ffcebcae-607d-4a4c-bb0e-6eda3ec5ac25.htseq.counts.gz	66e5a9011d6716d1d13754f794d7c6e7	253987	validated
0be2e699-7dc3-4991-a4e1-8d56a54ae6c7	0be2e699-7dc3-4991-a4e1-8d56a54ae6c7/e68b0db1-da01-475f-aa4e-6f7f87bbc135.htseq.counts.gz	be3bf3419e56edf1705e62aea2366673	255392	validated
0c0c7ac6-aa7e-4d5c-bc25-eea6e09cb83e	0c0c7ac6-aa7e-4d5c-bc25-eea6e09cb83e/22ec8ef1-957b-468e-b101-a9e088f86338.htseq.counts.gz	e57859c969833787cec317bfbf9efe9f	254919	validated
0d189924-862a-4fc1-ae1c-85f13d5bf8ad	0d189924-862a-4fc1-ae1c-85f13d5bf8ad/1e69236e-5526-4bf1-8de5-35d50a71f227.htseq.counts.gz	391b4394a48b856fd9b435f82b8f78af	253595	validated
0d59438e-2bcd-4847-9c8b-be41a8980ae3	0d59438e-2bcd-4847-9c8b-be41a8980ae3/24eae743-7c15-40f5-82ef-8284c704a6f3.htseq.counts.gz	ee275742aa79c4b2ee2c3ac785f0914a	256989	validated
0de11495-6f10-4326-857e-269ec6dac376	0de11495-6f10-4326-857e-269ec6dac376/9792f7ee-3295-43d7-b2f9-46cfa2dd2167.htseq.counts.gz	4a566eb38c4b862db64f038f3aa3d8db	254548	validated
0e636519-c09c-4ca2-87ad-4492712f0b88	0e636519-c09c-4ca2-87ad-4492712f0b88/151836ff-610c-49ac-a8c5-868e0bbf4eaa.htseq.counts.gz	00cdd6daf656417f53508a44dfb09fd7	259260	validated
0ed3a4f4-c9c5-49b2-9c69-5d807f4d469c	0ed3a4f4-c9c5-49b2-9c69-5d807f4d469c/6a0f01a5-152a-494e-aef3-45e58c875a64.htseq.counts.gz	80bf7f1e76aaed7d76195962eda9cf89	258281	validated
0f030a91-641a-4703-aa8e-d7df5bf9efa0	0f030a91-641a-4703-aa8e-d7df5bf9efa0/996fa724-fa06-4f69-abd7-910a1a74e276.htseq.counts.gz	2d83d33ac199e2cd82ae5debc6f1f325	252210	validated
0f5f8c38-2ad0-4acc-9f4e-c1d5ffddc059	0f5f8c38-2ad0-4acc-9f4e-c1d5ffddc059/d3b586fc-3d45-40f1-bbfa-53e85e005e4c.htseq.counts.gz	25540ab4d1bcce877c3d1c7f085efa54	252523	validated
1180f440-44fd-4e90-94a3-c5624662fe0f	1180f440-44fd-4e90-94a3-c5624662fe0f/6641ecad-6707-4f4d-ba99-d28b3817bd98.htseq.counts.gz	dc177e4236bf488efc3487bc50137963	259926	validated
1232fa43-bfbe-4852-bcc7-584b1d007da6	1232fa43-bfbe-4852-bcc7-584b1d007da6/71a24f55-17a7-4396-91fa-e6c7e03df518.htseq.counts.gz	c0b7706229f3000b1c707704a5fa52f9	253223	validated
123a78ba-f2e8-4f8a-8d5c-96fd01e2d81c	123a78ba-f2e8-4f8a-8d5c-96fd01e2d81c/4245d642-56a7-4b27-b74d-ba3e3535b4d8.htseq.counts.gz	cb921354dd81f3584e7bc19cd42db1db	253478	validated
